α,β,S₀,lab,t,md
0.3,1.4,0.6,α,3,0.28798735
0.3,1.4,0.6,β,3,0.64311206
0.3,1.4,0.6,rep-number,3,0.72970265
0.3,1.4,0.6,peak-intensity,5,1.7298362
0.3,1.4,0.6,growth-rate,5,3.2075443
0.3,1.4,0.6,outbreak-size,5,1.136246
0.3,1.4,0.6,S₀,5,0.2911355
0.3,1.4,0.6,α,5,0.2882829
0.3,1.4,0.6,β,5,0.66452706
0.3,1.4,0.6,rep-number,5,0.71361095
0.3,1.4,0.6,peak-intensity,10,3.7246966
0.3,1.4,0.6,growth-rate,10,3.6476386
0.3,1.4,0.6,outbreak-size,10,1.7728869
0.3,1.4,0.6,S₀,10,0.9023259
0.3,1.4,0.6,α,10,1.0629541
0.3,1.4,0.6,β,10,0.7483052
0.3,1.4,0.6,rep-number,10,1.2670646
0.3,1.5,0.6,peak-intensity,3,1.5687808
0.3,1.5,0.6,growth-rate,3,2.7471497
0.3,1.5,0.6,outbreak-size,3,0.8241916
0.3,1.5,0.6,S₀,3,0.23077242
0.3,1.5,0.6,α,3,0.31080964
0.3,1.5,0.6,β,3,0.74074984
0.3,1.5,0.6,rep-number,3,0.79580617
0.3,1.5,0.6,peak-intensity,5,1.8068643
0.3,1.5,0.6,growth-rate,5,3.2327452
0.3,1.5,0.6,outbreak-size,5,0.85359377
0.3,1.5,0.6,S₀,5,0.23801906
0.3,1.5,0.6,α,5,0.3667968
0.3,1.5,0.6,β,5,0.79306805
0.3,1.5,0.6,rep-number,5,0.7663584
0.3,1.5,0.6,peak-intensity,10,3.9099548
0.3,1.5,0.6,growth-rate,10,3.764358
0.3,1.5,0.6,outbreak-size,10,1.2036378
0.3,1.5,0.6,S₀,10,0.2597518
0.3,1.5,0.6,α,10,0.7000637
0.3,1.5,0.6,β,10,0.97129494
0.3,1.5,0.6,rep-number,10,0.7741527
